role_id,role_name,category,skill_id,skill_name,importance
1,Primary School Teacher,Teaching,563,Activity Based Learning,core
1,Primary School Teacher,Teaching,269,Child Development,core
1,Primary School Teacher,Teaching,498,Creativity,core
1,Primary School Teacher,Teaching,742,Play-Based Learning,core
1,Primary School Teacher,Teaching,745,Storytelling,core
1,Primary School Teacher,Teaching,743,Fine Motor Skills,secondary
1,Primary School Teacher,Teaching,763,Gross Motor Skills,secondary
1,Primary School Teacher,Teaching,607,Phonics,secondary
1,Primary School Teacher,Teaching,268,Montessori Method,bonus
2,Secondary School Teacher,Teaching,497,Analytical Thinking,core
2,Secondary School Teacher,Teaching,273,Exam Preparation,core
2,Secondary School Teacher,Teaching,496,Research Skills,core
2,Secondary School Teacher,Teaching,261,Student Assessment,core
2,Secondary School Teacher,Teaching,670,Subject Matter Expertise,core
2,Secondary School Teacher,Teaching,702,Academic Writing,secondary
2,Secondary School Teacher,Teaching,260,Curriculum Development,secondary
2,Secondary School Teacher,Teaching,703,Publication,bonus
3,Mathematics Teacher,Teaching,587,Algebra,core
3,Mathematics Teacher,Teaching,590,Calculus,core
3,Mathematics Teacher,Teaching,588,Geometry,core
3,Mathematics Teacher,Teaching,592,Mathematics,core
3,Mathematics Teacher,Teaching,589,Trigonometry,core
3,Mathematics Teacher,Teaching,593,Mental Mathematics,secondary
3,Mathematics Teacher,Teaching,591,Number Theory,secondary
3,Mathematics Teacher,Teaching,144,Statistics,secondary
3,Mathematics Teacher,Teaching,594,Vedic Mathematics,secondary
3,Mathematics Teacher,Teaching,497,Analytical Thinking,bonus
3,Mathematics Teacher,Teaching,145,Probability,bonus
4,Science Teacher,Teaching,597,Biology,core
4,Science Teacher,Teaching,596,Chemistry,core
4,Science Teacher,Teaching,598,Lab Management,core
4,Science Teacher,Teaching,595,Physics,core
4,Science Teacher,Teaching,602,Earth Sciences,secondary
4,Science Teacher,Teaching,600,Environmental Science,secondary
4,Science Teacher,Teaching,601,Life Sciences,secondary
4,Science Teacher,Teaching,231,Anatomy,bonus
4,Science Teacher,Teaching,599,Science Experiments,bonus
5,English Language Teacher,Teaching,612,English Literature,core
5,English Language Teacher,Teaching,603,Grammar,core
5,English Language Teacher,Teaching,604,Literature,core
5,English Language Teacher,Teaching,606,Reading Comprehension,core
5,English Language Teacher,Teaching,609,Writing Skills,core
5,English Language Teacher,Teaching,605,Creative Writing,secondary
5,English Language Teacher,Teaching,611,Prose and Poetry,secondary
5,English Language Teacher,Teaching,608,Spoken English,secondary
5,English Language Teacher,Teaching,757,Comprehension,bonus
5,English Language Teacher,Teaching,756,Essay Writing,bonus
5,English Language Teacher,Teaching,607,Phonics,bonus
6,Social Studies Teacher,Teaching,626,Civics,core
6,Social Studies Teacher,Teaching,628,Economics Teaching,core
6,Social Studies Teacher,Teaching,625,Geography,core
6,Social Studies Teacher,Teaching,624,History,core
6,Social Studies Teacher,Teaching,627,Political Science,core
6,Social Studies Teacher,Teaching,630,Current Affairs,secondary
6,Social Studies Teacher,Teaching,600,Environmental Science,secondary
6,Social Studies Teacher,Teaching,629,Map Reading,secondary
6,Social Studies Teacher,Teaching,496,Research Skills,bonus
7,Arts and Craft Teacher,Teaching,646,Craft Work,core
7,Arts and Craft Teacher,Teaching,498,Creativity,core
7,Arts and Craft Teacher,Teaching,643,Drawing,core
7,Arts and Craft Teacher,Teaching,647,Fine Arts,core
7,Arts and Craft Teacher,Teaching,644,Painting,core
7,Arts and Craft Teacher,Teaching,196,Color Theory,secondary
7,Arts and Craft Teacher,Teaching,645,Sculpture,secondary
