skill_id,skill_name,category
1,Python,Programming
2,Java,Programming
3,C,Programming
4,C++,Programming
5,C#,Programming
6,JavaScript,Programming
7,TypeScript,Programming
8,Go,Programming
9,Rust,Programming
10,Kotlin,Programming
11,Swift,Programming
12,PHP,Programming
13,Ruby,Programming
14,Scala,Programming
15,R,Programming
16,MATLAB,Programming
17,Perl,Programming
18,Shell Scripting,Programming
19,Bash,Programming
20,PowerShell,Programming
21,Assembly,Programming
22,Dart,Programming
23,Lua,Programming
24,Julia,Programming
25,Haskell,Programming
26,Elixir,Programming
27,Erlang,Programming
28,Clojure,Programming
29,F#,Programming
30,COBOL,Programming
31,Fortran,Programming
32,SAS,Programming
33,VBA,Programming
34,Groovy,Programming
35,Objective-C,Programming
36,React,Web Frontend
37,Angular,Web Frontend
38,Vue.js,Web Frontend
39,HTML,Web Frontend
40,CSS,Web Frontend
41,Sass,Web Frontend
42,Bootstrap,Web Frontend
43,Tailwind CSS,Web Frontend
44,Next.js,Web Frontend
45,Nuxt.js,Web Frontend
46,jQuery,Web Frontend
47,Redux,Web Frontend
48,Webpack,Web Frontend
49,Vite,Web Frontend
50,GraphQL,Web Frontend
51,Node.js,Web Backend
52,Express.js,Web Backend
53,Django,Web Backend
54,Flask,Web Backend
55,FastAPI,Web Backend
56,Spring Boot,Web Backend
57,Laravel,Web Backend
58,Ruby on Rails,Web Backend
59,ASP.NET,Web Backend
60,NestJS,Web Backend
61,REST API,Web Backend
62,Microservices,Web Backend
63,WebSockets,Web Backend
64,gRPC,Web Backend
65,MySQL,Database
66,PostgreSQL,Database
67,SQLite,Database
68,Microsoft SQL Server,Database
69,Oracle DB,Database
70,MongoDB,Database
71,Redis,Database
72,Cassandra,Database
73,DynamoDB,Database
74,Elasticsearch,Database
75,Firebase,Database
76,Supabase,Database
77,Neo4j,Database
78,InfluxDB,Database
79,CouchDB,Database
80,SQL,Database
81,AWS,Cloud
82,Azure,Cloud
83,Google Cloud,Cloud
84,Docker,DevOps
85,Kubernetes,DevOps
86,Terraform,DevOps
87,Ansible,DevOps
88,Jenkins,DevOps
89,GitHub Actions,DevOps
